Test Case ID,Test scenerio,Test case title,Pre-requisites,Test steps,Test data,Expected result,Actual result,Result,Comment,screenshot
11,Validate the working of login account functionality.,validate logging in with inactive credentials.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                          2.select login  from dropdown menu.                                                        3.click on login button. er-1,N/A,1.user should not be logged in.,,,,
12,Validate the working of login account functionality.,validate different ways to navigate to login page.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login from dropdown menu.   er1                                                     3.click on my account .                                                      4.select register  from dropdown menu.                     5.select on login link from the register account page.er1                                                                                             6.repeat option 1 2                                                            7.select login  option  from the right column options.er1         ,N/A,1.ould be taken to login  page.,,,,
13,Validate the working of login account functionality.,validate the working of  register page link in the login page .,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login from dropdown menu.                                                                     3.select on login link from the register account er1 ,N/A,1.user should be taken to register account page.                                                                          ,,,,
14,Validate the working of login account functionality.,validate  after logging in ;close the tab and open the tab again.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login from dropdown menu.                                                                     3.enter values for email and password.                              4.click on login button.er1                                                               5.close the tab.                                                                                               6.reopen the tab.er1,N/A,1.user should be logged in.,,,,
15,Validate the working of login account functionality.,validate logging in after changing the password.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login from dropdown menu.                                                                     3.enter values for valid email and  password.                              4.click on login button.                                                                         5.click on change your password link.                                      6.enter new password into password and confirm password fields and click continue.                                                                                       7.click on account .                                                                                 8.select logout from dropdown menu.                                      9.   repeat steps 1 to 4.er1.                                                                10.enter changed password. er2                                      ,naisha@gmail.com                                                        previous password=mahi@089                        changed password=naisha@089,1.user should be not be logged in.                                                2.user shiuld be logged in.,,,,
16,Validate the working of login account functionality.,validate all the fields in the login account have proper placeholder.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                        2.select login  from dropdown menu.   er1                                                     3.check all the fields for proper plceholder.er2,N/A,1.user should be taken to login page.                                                                          2.proper placeholder for each field.,,,,
17,Validate the working of login account functionality.,validate  the forgotton link in the login page is working.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login  from dropdown menu.   er1                                                     3.click on forgotton password link.er2,N/A,1.user should be taken to register account page.                                                                          2. user should be taken to forgotton password page link.,,,,
18,Validate the working of login account functionality.,validate  the links in the right columns are working properly.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login  from dropdown menu.   er1                                                     3.click on  options on the right columns.,N/A,1.the options in the right column should be working properly.,,,,
19,Validate the working of login account functionality.,validate timeout of the login session.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login  from dropdown menu.                                                 3.enter valid credentials for email and password fields.                                                                                                             4.click on login button.                                                                                  5.wait for 1 hour without doing anything in the application.                                                                                               6.perform any action on the application.er1,naisha@gmail.com                                                     naisha@089,1..   User should be automitally logged out with proper session out message.                                ,,,,
20,Validate the working of login account functionality.,validate the password text entered in the password  field have the functionality of toggoled to hid its visibility.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login  from dropdown menu.                                                 3.enter valid credentials for email and password fields.er1                                                                                                                                                                                                                   ,naisha@gmail.com                                                     naisha@089,1.password has the functionality of toggoled to hid its visibility.,,,,
21,Validate the working of login account functionality.,validate the UI of the login account page.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login from dropdown menu.    er1                                                    ,N/A,"1.proper ,good and flexibale UI should be displayed over the login  page.",,,,
22,Validate the working of login account functionality.,"validate the breadcrumb,page heading,page URL, page title of the login account page .",Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login from dropdown menu.    er1                                                    ,N/A,"1.proper breadcrumb,page headline,page titile,page URL should be displayed.",,,,
24,Validate the working of login account functionality.,"validate all the fields in the login page are according to the client requirments(Height,Wight,number of chracterters etc.).",Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login from dropdown menu.    er1                                                    ,N/A,1.text field should be abide by  the client requirments.,,,,
26,Validate the working of login account functionality.,"validate logging into  an account by using only keyboard keys.(enter,space,tab)",Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login  from dropdown menu.                                                        3.enter valid inputs for email ans password using keyboard keywords only .                                                            4.click on login  button.  er-1                                                                                                                       ,naisha@gmail.com                                                     naisha@089,1.user should logged in .,,,,
28,Validate the working of login account functionality.,validate login an account in all supported environments.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                       2.select login  from dropdown menu.   ,N/A,1.login page  functionality should work on all supported environments.,,,,
