Test Case ID,Test scenerio,Test case title,Pre-requisites,Test steps,Test data,Expected result,Actual result,Result,Comment,screenshot
11,Validate the working of register account functionality.,validate privacy policy is not defaultly selected.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.                                                        3.view privacy policy checkbox option er-1,N/A,1.privacy option checkbox should not selected by default.,,,,
12,Validate the working of register account functionality.,validate different ways to navigate to register page.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.   er1                                                     3.click on my account .                                                  4.select login from dropdown menu.                     5.select on continue in the new customer.er1      6.repeat option 3 and 4                                               7.select register option  from the right column options.er1         ,N/A,1.user should be taken to register account page.,,,,
13,Validate the working of register account functionality.,validate the working of  login page link in the register page .,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.   er1                                                     3.click the login page link in the register account page.er2       ,N/A,1.user should be taken to register account page.                                                                          2.user should be taken to login account page.,,,,
14,Validate the working of register account functionality.,"validate the working of other link (forgotton password,wishlist,addressbook,download,order history,subscription,reward points,returns,transaction,newsletter etc.)",Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.   er1                                                     3.click the options in the right column.er2      ,N/A,1.user should be taken to register account page.                                                                          2.user should be taken to login account page.,,,,
15,Validate the working of register account functionality.,validate showing warning message if any of the mendetory fields are left unattened.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.   er1                                                     3.enter all mandatory fields except email and vice versa.er2,N/A,1.user should be taken to register account page.                                                                          2.account shouldn’t be created and proper warning massage should be displayed 'this field is required ' for that missin h mandatory field.,,,,
16,Validate the working of register account functionality.,validate all the fields in the register account have proper placeholder.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.   er1                                                     3.check all the fields for proper plceholder.er2,N/A,1.user should be taken to register account page.                                                                          2.proper placeholder for each field.,,,,
17,Validate the working of register account functionality.,validate all the mendatory fields in the register account are marked with red * symbol.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.   er1                                                     3.check all the mandatory fields  are marked with * red star symbol. Er2,N/A,1.user should be taken to register account page.                                                                          2.mandatory fields are marked with red *.,,,,
18,Validate the working of register account functionality.,validate the details that are provided during registering an account are stored in the database.,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the fields (first name, lastname, email , telephone, password, password confirm,privacy policy) fields.                                                               4.click on continue button.  er-1                                                                                                                                             ",N/A,1.all the user details sshould be saved in thr database.,,,,
19,Validate the working of register account functionality.,validate the password field in the register account are following password comnplexcity standards.,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the fields (first name, lastname, email , telephone, password, password confirm,privacy policy) fields.                                                               4.check password coplexcity(checking its length,atleat one number,special character , upperlcase and lower case).                        5.click continue button.er1                                                                                                                                             ",12345,1.proper warning message for standards password complexcity.                                   ,,,,
20,Validate the working of register account functionality.,validate the password text entered in the password and password confirm fields have the functionality of toggled to hid its visibility.,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the fields (first name, lastname, email , telephone, password, password confirm,privacy policy) fields.                                                               4.check password and confirm password toggoled to hid its visibity functionality.er1",N/A,1.password and confirm password has the functionality of toggoled to hid its visibility.,,,,
21,Validate the working of register account functionality.,validate the UI of the register account page.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.    er1                                                    ,N/A,"1.proper ,good and flexibale UI should be displayed over the register account page.",,,,
22,Validate the working of register account functionality.,"validate the breadcrumb,page heading,page URL, page title of the register account page .",Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.    er1                                                    ,N/A,"1.proper breadcrumb,page headline,page titile,page URL should be displayed.",,,,
23,Validate the working of register account functionality.,validate showing warning massage when only password field is filled but not the confirm password field.,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the fields (first name, lastname, email , telephone, password, privacy policy) fields.                                                               4.click continue button.er1  ",N/A,1.warning massage 'this field is required ' for confirm password field.,,,,
24,Validate the working of register account functionality.,"validate all the fields in the register account are according to the client requirments(Height,Wight,number of chracterters etc.).",Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.    er1                                                    ,N/A,1.text field should be abide by  the client requirments.,,,,
25,Validate the working of register account functionality.,validate wheather the leading and trailing spaces are entered in the fields are trimmed.,Open the application    (https://demo.opencart.com) in any browser.," 1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the fields (first name, lastname, email , telephone, password, password confirm ) field with leading and trailing space .                                                               4.click on continue button.  er-1                                                                                                                                                                         ",N/A,1.successful account registration with automitacially trimmed the leading and trailing spaces.,,,,
26,Validate the working of register account functionality.,"validate registering an account by using only keyboard keys.(enter,space,tab)",Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the fields (first name, lastname, email , telephone, password, password confirm,privacy policy) fields by keyboard keys(enter,spacebar,tab)                                                              4.click on continue button.  er-1                                                                                                                       ",N/A,1.user should logged in .,,,,
27,Validate the working of register account functionality.,validate showing warning message if privacy policy option is not selected.,Open the application    (https://demo.opencart.com) in any browser.,"1.click on my account.                                                2.select register from dropdown menu.                                                        3.enter  values in the fields (first name, lastname, email , telephone, password, password confirm) fields .                                                            4.click on continue button.  er-1",N/A,1.proper warning massage for privacy policy checkbox.,,,,
28,Validate the working of register account functionality.,validate registering an account in all supported environments.,Open the application    (https://demo.opencart.com) in any browser.,1.click on my account.                                                2.select register from dropdown menu.   ,N/A,1.register account functionality should work on all supported environments.,,,,
